surveyid,year,cc,isocc,nc9,nc14,bills,eduage,polr,scc,caper,calfcar,caecar,canocar,caihome,calehome,caleapp,casup,caesequ,casolar,cacfood,cactravel,cared,cadis,caother,canone,pdconv,age
80.2,2013,2,BE,0,0,3,23,,3,1,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,59
80.2,2013,2,BE,0,0,3,21,,5,1,1,,0,1,0,1,0,,0,1,1,1,1,0,0,,66
80.2,2013,2,BE,0,0,1,18,,8,1,0,,1,1,0,1,0,,0,0,0,1,1,0,0,,56
80.2,2013,2,BE,0,0,3,23,,7,2,0,,0,0,0,1,0,,0,0,0,1,0,0,0,,45
80.2,2013,2,BE,0,0,3,14,,6,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,70
80.2,2013,2,BE,0,0,2,16,,8,2,0,,0,0,0,1,0,,0,0,0,1,1,0,0,,68
80.2,2013,2,BE,1,0,2,18,,5,1,0,,1,0,0,1,0,,0,0,0,1,0,0,0,,34
80.2,2013,2,BE,0,0,2,20,,4,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,31
80.2,2013,2,BE,0,0,1,98,,8,1,0,,1,0,0,1,0,,0,0,0,1,1,0,0,,24
80.2,2013,2,BE,0,0,3,99,,5,2,0,,1,0,0,1,0,,0,0,0,1,1,0,0,,78
80.2,2013,2,BE,0,1,3,24,,6,1,0,,1,1,0,0,0,,0,0,0,1,1,0,0,,47
80.2,2013,2,BE,0,0,2,23,,6,1,0,,1,1,0,1,0,,0,0,0,1,1,0,0,,53
80.2,2013,2,BE,0,0,2,18,,5,1,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,34
80.2,2013,2,BE,0,0,3,98,,5,2,0,,0,0,0,0,0,,0,0,0,0,1,0,0,,16
80.2,2013,2,BE,0,0,3,16,,6,2,0,,0,0,0,0,0,,0,0,0,0,1,0,0,,84
80.2,2013,2,BE,0,0,2,18,,3,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,52
80.2,2013,2,BE,0,0,2,18,,2,2,0,,0,0,0,0,0,,0,0,0,0,1,0,0,,60
80.2,2013,2,BE,0,0,3,18,,4,1,0,,0,1,0,0,0,,0,0,0,1,1,0,0,,65
80.2,2013,2,BE,0,0,3,21,,3,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,60
80.2,2013,2,BE,1,0,3,98,,2,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,18
80.2,2013,2,BE,0,0,3,20,,6,1,1,,0,0,0,0,0,,0,0,0,1,1,0,0,,26
80.2,2013,2,BE,0,0,2,18,,4,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,42
80.2,2013,2,BE,0,0,3,16,,3,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,55
80.2,2013,2,BE,1,0,7,98,,6,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,15
80.2,2013,2,BE,0,0,3,16,,5,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,70
80.2,2013,2,BE,0,1,3,19,,7,1,0,,0,1,0,0,1,,0,0,0,0,1,0,0,,44
80.2,2013,2,BE,0,0,3,21,,5,1,0,,0,0,0,0,0,,1,0,0,0,0,0,0,,54
80.2,2013,2,BE,0,0,3,16,,3,1,0,,0,0,0,0,0,,1,0,0,1,0,0,0,,48
80.2,2013,2,BE,0,0,3,14,,8,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,84
80.2,2013,2,BE,2,0,3,18,,7,1,0,,1,0,0,1,0,,0,0,0,1,1,0,0,,45
80.2,2013,2,BE,0,1,3,98,,7,1,0,,1,0,0,0,0,,0,1,0,1,1,0,0,,18
80.2,2013,2,BE,0,0,3,24,,7,1,0,,1,0,0,1,1,,0,0,0,1,1,0,0,,25
80.2,2013,2,BE,0,0,3,98,,7,1,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,22
80.2,2013,2,BE,1,0,2,18,,1,1,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,22
80.2,2013,2,BE,0,0,3,20,,10,1,0,,1,0,0,1,1,,1,0,0,1,1,0,0,,59
80.2,2013,2,BE,1,0,3,31,,8,1,0,,1,1,0,1,0,,0,1,0,1,0,0,0,,38
80.2,2013,2,BE,0,0,3,18,,8,1,1,,1,0,0,0,0,,0,1,0,1,1,0,0,,40
80.2,2013,2,BE,0,0,2,19,,8,1,1,,1,0,0,0,0,,0,1,0,1,1,0,0,,50
80.2,2013,2,BE,0,0,3,20,,8,2,0,,1,0,0,1,0,,0,0,0,0,1,0,0,,41
80.2,2013,2,BE,0,0,2,21,,8,2,0,,0,0,0,1,1,,0,1,0,1,1,0,0,,41
80.2,2013,2,BE,0,0,2,19,,9,1,1,,0,1,0,0,0,,0,0,0,0,0,0,0,,42
80.2,2013,2,BE,0,0,2,20,,6,1,0,,0,0,0,0,0,,1,1,0,1,1,0,0,,34
80.2,2013,2,BE,2,0,3,22,,10,1,0,,1,1,0,1,1,,0,1,0,1,1,0,0,,35
80.2,2013,2,BE,0,0,3,18,,3,2,0,,0,0,0,0,0,,0,1,0,0,0,0,0,,53
80.2,2013,2,BE,0,0,3,17,,8,1,0,,1,1,0,1,0,,0,0,0,1,1,0,0,,54
80.2,2013,2,BE,2,0,2,21,,9,1,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,35
80.2,2013,2,BE,0,0,3,23,,8,1,0,,1,1,0,1,1,,1,0,0,1,1,0,0,,30
80.2,2013,2,BE,0,0,2,20,,8,1,1,,0,1,0,0,0,,0,1,0,1,1,0,0,,33
80.2,2013,2,BE,0,0,3,17,,8,1,0,,1,1,0,0,0,,0,1,0,1,1,0,0,,52
80.2,2013,2,BE,1,0,2,19,,8,1,0,,0,0,0,1,0,,0,1,0,1,0,0,0,,26
80.2,2013,2,BE,2,1,2,19,,9,1,0,,0,0,0,0,1,,0,1,0,1,1,0,0,,35
80.2,2013,2,BE,0,0,3,21,,8,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,47
80.2,2013,2,BE,0,0,2,17,,8,1,0,,0,0,0,1,1,,0,0,0,1,1,0,0,,43
80.2,2013,2,BE,0,0,2,24,,9,2,0,,1,0,0,1,0,,0,0,0,1,1,0,0,,55
80.2,2013,2,BE,0,0,3,22,,9,2,0,,0,0,0,1,0,,0,0,0,1,0,0,0,,47
