v6,v7,v557,v570,v571,v572,v573,v574,v575,v576,v577,v578,v579,v580,v581,v582,v583,v592,v595,v605,v607,v624
2,BE,10,1,0,1,1,0,1,0,1,1,1,1,1,0,0,21,48,0,0,3
2,BE,7,1,0,1,0,0,1,1,0,0,1,1,1,0,0,17,28,1,0,2
2,BE,7,2,1,1,1,0,1,1,0,0,1,1,1,0,0,19,53,0,0,3
2,BE,6,1,1,1,1,0,0,0,0,1,1,1,1,0,0,25,26,0,0,3
2,BE,7,2,0,0,0,0,1,0,0,0,0,1,1,0,0,18,53,0,0,2
2,BE,4,2,0,0,0,0,1,0,0,1,1,1,1,0,0,23,31,0,0,3
2,BE,10,1,1,1,0,0,1,1,0,1,1,1,1,0,0,19,53,0,0,3
2,BE,7,1,1,1,1,1,1,0,0,1,0,1,1,0,0,18,77,0,0,3
2,BE,9,1,0,1,1,0,1,0,0,0,0,1,1,0,0,98,19,1,0,2
2,BE,10,2,0,1,1,1,1,0,0,1,1,1,1,0,0,17,68,2,0,3
2,BE,9,1,0,1,0,0,1,0,0,1,0,1,1,0,0,98,17,0,0,3
2,BE,10,1,1,1,0,0,1,0,0,1,0,1,1,0,0,98,22,0,0,3
2,BE,8,1,1,0,0,0,1,0,1,1,0,1,1,0,0,22,50,0,0,3
2,BE,10,2,0,1,0,0,1,0,0,1,1,1,1,0,0,18,31,0,0,3
2,BE,8,1,0,1,1,0,1,0,0,1,1,1,1,0,0,18,20,1,0,3
2,BE,6,2,1,1,0,0,0,0,0,0,0,1,0,0,0,24,51,0,0,3
2,BE,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,26,50,0,0,3
2,BE,5,1,0,1,1,0,1,1,0,1,0,1,1,0,0,18,53,0,0,3
2,BE,6,2,0,1,1,0,1,0,0,0,1,1,0,0,0,19,52,0,0,3
2,BE,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25,51,1,1,3
2,BE,7,1,0,1,1,0,0,0,0,0,1,1,1,0,0,98,16,0,0,3
2,BE,3,1,0,1,1,0,1,0,0,1,1,1,1,0,0,21,45,0,0,1
2,BE,8,1,1,1,1,0,1,1,0,1,0,1,1,0,0,20,54,0,0,3
2,BE,7,1,0,0,0,0,1,0,1,0,0,1,1,0,0,98,20,0,0,3
2,BE,7,1,0,1,1,0,1,1,0,1,1,1,1,0,0,21,54,0,0,3
2,BE,6,1,1,0,0,0,1,0,0,1,0,1,1,0,0,24,51,0,0,3
2,BE,7,1,1,0,1,0,1,0,0,1,1,1,1,0,0,26,47,0,0,3
2,BE,10,1,0,1,0,0,1,0,1,1,1,1,1,0,0,24,54,0,0,3
2,BE,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,98,18,0,0,3
2,BE,4,2,0,0,1,0,0,0,0,1,1,1,1,0,0,98,16,0,1,1
2,BE,11,2,0,1,1,0,1,0,0,1,1,1,1,0,0,19,75,1,0,2
2,BE,7,2,0,1,1,0,0,0,0,1,1,1,1,0,0,98,16,0,1,3
2,BE,7,1,0,1,1,0,1,0,0,1,1,1,1,0,0,25,30,0,0,3
2,BE,6,2,0,1,0,0,0,0,0,0,1,1,1,0,0,98,18,0,0,3
2,BE,4,1,0,1,1,0,0,0,0,1,0,1,1,0,0,98,16,0,1,2
2,BE,7,2,0,0,1,0,1,0,0,1,1,1,1,0,0,18,34,2,0,3
2,BE,3,1,0,0,0,0,0,0,0,1,1,1,1,0,0,23,34,2,0,3
2,BE,8,2,1,1,0,0,1,1,0,1,1,1,1,0,0,18,32,1,0,2
2,BE,6,2,0,1,1,0,1,0,0,1,0,1,1,0,0,19,45,1,1,3
2,BE,10,1,0,1,1,0,1,0,0,1,1,1,1,0,0,20,67,0,0,1
2,BE,9,1,0,1,1,0,1,0,0,1,0,1,1,0,0,21,29,2,0,3
2,BE,7,1,0,1,1,1,1,1,1,1,1,1,1,0,0,18,49,0,0,3
2,BE,7,2,0,1,1,0,1,0,0,1,1,1,1,0,0,22,52,0,0,3
2,BE,7,2,0,0,1,0,1,0,0,0,1,1,1,0,0,22,33,3,0,3
2,BE,7,2,0,1,1,1,1,1,0,1,1,1,1,0,0,22,71,0,0,3
2,BE,8,1,1,1,1,0,1,0,0,1,1,1,1,0,0,18,27,2,0,2
2,BE,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,98,21,0,0,3
2,BE,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,64,0,0,3
2,BE,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25,44,2,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,47,0,0,3
2,BE,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,24,37,1,0,3
2,BE,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,20,50,0,0,3
2,BE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,21,40,0,0,3
2,BE,6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,24,61,0,0,3
2,BE,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,18,65,0,0,3
2,BE,7,2,0,1,0,0,0,1,0,0,0,0,1,0,0,14,63,0,0,3
2,BE,7,2,0,1,0,0,1,0,0,0,0,0,1,0,0,15,60,0,0,3
2,BE,4,2,1,0,1,0,0,0,0,0,0,1,1,0,0,18,35,2,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,15,67,0,0,3
2,BE,7,1,0,0,0,0,1,0,0,1,0,1,0,0,0,98,17,0,0,2
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14,63,0,0,3
2,BE,7,2,0,0,1,0,0,1,0,1,1,1,0,0,0,22,64,0,0,3
2,BE,7,1,0,0,0,1,0,0,0,1,0,0,1,0,0,15,68,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,1,0,1,1,0,0,15,36,1,0,3
2,BE,5,2,0,0,1,0,1,0,1,0,0,0,0,0,0,14,70,0,0,3
2,BE,3,2,1,0,1,0,0,0,0,1,0,1,1,0,0,22,56,0,0,3
2,BE,7,2,1,1,0,0,0,1,0,0,1,0,0,0,0,16,36,0,0,7
2,BE,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,14,71,0,0,2
2,BE,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,18,50,1,0,2
2,BE,6,1,0,0,1,0,0,0,1,0,1,1,1,0,0,18,44,0,1,2
2,BE,8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,23,34,3,0,3
2,BE,9,1,0,1,0,0,0,0,0,0,0,1,1,0,0,18,59,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,22,23,0,0,3
2,BE,6,1,0,0,1,0,0,0,1,1,0,1,1,0,0,21,62,0,0,3
2,BE,10,1,0,1,1,0,1,0,0,1,0,1,1,0,0,23,64,0,0,3
2,BE,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,98,18,0,0,3
2,BE,9,1,0,1,0,0,1,0,0,0,0,1,0,0,0,21,43,1,1,3
2,BE,8,1,0,0,1,0,0,0,0,0,0,1,1,0,0,20,76,0,0,3
2,BE,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,99,67,0,0,3
2,BE,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,99,79,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,98,17,0,1,3
2,BE,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,99,65,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20,51,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,19,35,1,2,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14,81,0,0,3
2,BE,4,2,0,0,0,0,0,1,0,0,0,1,0,0,0,18,41,0,0,3
2,BE,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,98,19,0,0,3
2,BE,8,1,0,0,1,0,0,0,1,0,0,1,1,0,0,21,44,0,2,3
2,BE,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,14,64,0,0,3
2,BE,7,1,1,1,0,0,0,0,0,1,0,1,1,0,0,19,32,2,0,3
2,BE,3,1,0,1,1,0,1,0,0,0,0,1,1,0,0,22,26,0,0,3
2,BE,10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,18,44,2,0,2
2,BE,8,2,1,1,1,0,1,0,0,1,0,1,1,0,0,20,73,0,0,3
2,BE,10,2,0,0,0,0,0,0,0,1,0,1,1,0,0,19,34,1,1,2
2,BE,4,1,1,1,0,1,1,1,0,1,0,1,1,0,0,18,40,0,1,3
2,BE,9,2,1,1,1,0,1,0,0,0,0,1,1,0,0,20,32,1,0,3
2,BE,5,1,0,0,1,0,1,1,1,0,0,1,1,0,0,23,53,0,0,3
2,BE,6,2,0,1,0,0,1,0,0,1,0,1,0,0,0,18,24,1,0,3
2,BE,6,2,0,0,0,0,0,1,1,0,0,1,1,0,0,19,29,1,0,3
2,BE,6,1,0,0,1,0,1,1,1,1,0,1,0,0,0,19,28,1,0,3
2,BE,7,1,0,0,1,0,1,0,0,1,0,1,1,0,0,22,36,2,1,3
2,BE,5,2,0,1,0,0,1,1,0,0,0,1,1,0,0,23,48,0,0,2
2,BE,7,2,0,0,1,0,0,0,0,0,0,1,0,0,0,21,22,0,0,3
2,BE,5,2,1,0,1,1,1,0,0,1,0,1,0,0,0,22,43,1,1,3
2,BE,8,2,1,0,0,0,0,0,0,0,0,1,0,0,0,19,30,2,0,3
2,BE,4,2,1,0,0,0,1,0,0,0,0,1,0,0,0,21,46,0,1,3
2,BE,8,1,0,1,0,0,1,0,0,1,0,1,1,0,0,16,63,0,0,3
2,BE,5,1,0,0,0,0,1,1,0,1,0,1,1,0,0,22,28,0,0,2
2,BE,8,1,0,0,0,0,1,0,1,1,0,1,1,1,0,23,36,2,1,3
2,BE,7,2,0,0,1,0,0,0,0,0,0,1,0,0,0,18,37,2,0,3
2,BE,8,1,0,1,0,0,0,0,1,0,0,1,1,0,0,21,49,0,0,2
