country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d8,d11,d40b,d40c,d60
2,BE,9,1,0,0,0,0,0,1,0,0,0,1,1,0,0,19,33,1,0,3
2,BE,9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,18,22,0,0,2
2,BE,10,1,0,0,0,0,1,0,0,0,0,1,1,0,0,19,79,0,0,3
2,BE,9,1,1,0,1,0,1,0,0,1,0,1,1,0,0,19,33,0,0,3
2,BE,9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,17,73,0,0,3
2,BE,9,2,0,0,0,0,0,0,0,1,0,1,1,0,0,23,50,0,0,3
2,BE,9,2,0,0,0,0,0,1,0,1,0,1,0,0,0,19,43,2,0,3
2,BE,9,1,1,0,0,1,1,1,0,0,0,1,1,0,0,20,41,0,0,3
2,BE,9,1,1,0,0,0,1,0,0,0,0,1,1,0,0,16,53,0,0,3
2,BE,10,1,1,1,1,0,1,0,0,1,0,1,1,0,0,19,33,0,0,3
2,BE,9,1,0,0,0,0,1,1,0,0,0,1,1,0,0,21,44,1,0,2
2,BE,10,1,0,0,0,0,1,1,0,0,0,1,1,0,0,20,33,1,0,3
2,BE,9,2,0,0,0,0,0,1,0,1,0,1,1,0,0,19,24,0,0,2
2,BE,10,1,0,0,0,0,1,0,0,1,0,1,1,0,0,21,23,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,15,37,0,0,2
2,BE,7,1,1,0,1,0,1,1,0,0,0,1,0,0,0,21,37,2,1,3
2,BE,10,2,1,1,1,0,1,0,0,1,1,1,1,0,0,20,62,0,0,3
2,BE,10,1,0,1,1,0,1,0,0,1,1,1,1,0,0,23,41,2,1,2
2,BE,9,1,0,1,0,0,1,0,0,1,1,1,1,0,0,23,41,0,0,2
2,BE,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,20,57,0,0,7
2,BE,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,29,67,0,0,2
2,BE,8,1,0,1,1,0,0,0,0,0,0,1,0,0,0,19,68,0,0,3
2,BE,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,21,34,2,0,7
2,BE,10,1,0,1,1,0,1,1,1,1,0,1,1,0,0,23,26,0,0,3
2,BE,9,1,0,0,1,0,1,0,1,0,0,1,0,0,0,18,59,0,0,2
2,BE,8,1,0,1,1,0,0,1,1,1,1,1,1,0,0,18,67,0,0,3
2,BE,5,2,1,0,0,0,0,0,0,0,0,1,1,0,0,22,37,1,1,3
2,BE,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,14,90,0,0,3
2,BE,5,2,0,0,0,0,0,0,0,1,0,1,1,0,0,16,60,0,0,3
2,BE,7,2,1,0,1,0,0,0,0,1,0,1,1,0,0,18,71,0,0,3
2,BE,7,2,0,0,1,0,0,0,1,0,0,0,0,0,0,14,84,0,0,3
2,BE,5,1,0,0,1,0,1,0,0,1,0,1,1,0,0,18,63,0,0,3
2,BE,7,2,0,1,0,0,1,0,0,1,0,1,1,0,0,23,54,0,0,2
2,BE,6,2,0,0,0,0,0,0,0,0,0,1,1,0,0,19,53,0,0,3
2,BE,4,2,0,0,0,0,0,1,0,0,0,1,0,0,0,21,28,0,0,2
2,BE,4,2,0,0,0,0,1,0,0,0,0,1,0,0,0,18,32,2,0,2
2,BE,7,1,0,0,0,0,0,1,0,0,0,1,1,0,0,23,36,0,0,3
2,BE,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,98,23,0,0,3
2,BE,7,2,1,0,1,0,1,0,0,0,0,0,0,0,0,27,43,0,0,2
2,BE,6,1,0,1,1,0,1,0,0,0,0,0,1,0,0,23,48,0,0,3
2,BE,10,1,0,1,0,0,1,0,0,1,0,1,1,0,0,23,45,2,1,3
2,BE,6,2,0,1,0,0,0,0,0,0,0,1,1,0,0,98,19,1,0,3
2,BE,10,1,0,1,1,0,1,1,0,0,0,1,1,0,0,23,60,0,0,3
2,BE,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14,70,0,0,3
2,BE,8,2,1,1,1,1,1,0,0,1,0,0,0,0,0,14,51,0,0,3
2,BE,7,1,0,1,0,1,1,0,0,0,0,0,0,0,0,14,69,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,19,87,0,0,3
2,BE,7,2,1,0,1,0,1,0,0,0,0,1,0,0,0,20,26,1,0,3
2,BE,7,2,0,1,1,0,0,0,1,1,0,1,1,0,0,18,57,0,0,3
2,BE,8,2,0,0,1,0,1,1,0,0,0,1,1,0,0,21,42,1,0,2
2,BE,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,98,18,0,0,2
2,BE,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,14,77,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,1,0,1,1,0,0,23,55,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,98,18,0,0,3
2,BE,7,1,0,1,1,0,0,0,0,0,0,1,1,0,0,20,52,0,0,3
2,BE,7,2,0,0,1,0,0,0,0,1,0,1,0,0,0,22,55,0,0,3
2,BE,6,2,1,1,0,0,1,0,0,0,0,1,1,0,0,19,71,0,0,3
2,BE,5,2,0,1,1,0,0,0,0,0,0,1,0,0,0,15,77,0,0,3
2,BE,8,1,0,1,1,0,0,0,0,1,0,1,0,0,0,21,33,2,0,3
2,BE,7,2,0,1,0,0,0,0,0,1,0,1,0,0,0,21,23,0,0,3
2,BE,7,1,0,1,1,0,0,0,0,0,0,1,1,0,0,21,45,0,0,3
2,BE,5,2,1,0,1,0,0,0,0,0,0,1,1,0,0,21,59,0,0,3
2,BE,5,1,0,1,1,0,0,0,1,0,0,1,0,0,0,21,77,0,0,3
2,BE,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,21,31,2,0,3
2,BE,10,2,0,0,0,0,1,1,0,1,0,1,1,0,0,14,77,0,0,3
2,BE,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14,68,0,0,3
2,BE,8,1,0,1,0,0,0,0,0,0,0,1,1,0,0,98,20,0,0,3
2,BE,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,19,33,2,0,3
2,BE,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,21,32,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14,89,0,1,3
2,BE,5,2,0,1,1,0,0,0,0,0,0,1,1,0,0,18,68,0,0,3
2,BE,8,1,0,0,1,0,1,0,0,0,0,1,1,0,0,21,36,2,0,3
2,BE,6,1,0,0,1,0,0,0,1,0,0,0,1,0,0,20,38,2,0,3
2,BE,7,1,0,1,0,0,1,1,0,1,0,0,0,0,0,22,47,1,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,1,1,0,0,20,69,0,0,3
2,BE,8,2,0,1,0,0,0,0,1,1,0,1,1,0,0,23,23,0,0,3
2,BE,8,1,0,0,1,0,1,0,1,1,1,0,1,0,0,18,74,0,0,3
2,BE,9,1,0,1,1,0,1,1,0,1,1,1,1,0,0,21,24,0,0,2
2,BE,9,1,0,0,1,0,1,0,1,1,0,1,1,0,0,24,28,0,0,3
2,BE,8,2,0,0,0,0,1,0,1,0,0,1,1,0,0,21,44,0,0,3
2,BE,8,1,1,0,0,0,0,0,0,0,0,1,1,0,0,17,61,0,0,3
2,BE,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,16,50,0,0,3
2,BE,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,21,50,0,0,3
2,BE,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,74,0,0,3
2,BE,6,2,0,0,1,0,0,0,1,0,0,1,0,0,0,16,69,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,25,1,0,3
2,BE,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,72,0,0,3
2,BE,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,14,75,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,27,70,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,98,0,0,3
2,BE,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,21,62,0,0,3
