country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d1,d11,d8,d40b,d40c,d60
2,BE,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,83,14,0,0,3
2,BE,7,2,0,0,1,0,0,0,0,1,0,0,1,0,0,4,51,18,0,0,2
2,BE,6,2,0,0,0,0,1,0,0,1,0,0,1,0,0,7,40,17,2,1,3
2,BE,5,2,0,1,0,0,0,0,0,1,0,1,0,0,0,4,43,20,0,1,2
2,BE,6,2,0,1,0,1,0,0,0,0,0,0,1,0,0,7,62,16,0,0,3
2,BE,7,1,0,1,0,0,1,0,0,0,1,0,0,0,0,5,39,39,1,1,3
2,BE,6,2,0,0,0,0,1,0,0,0,1,0,0,0,0,7,54,18,0,0,2
2,BE,6,2,0,1,0,0,1,0,1,1,0,0,0,0,0,7,50,17,0,0,2
2,BE,8,2,0,1,0,0,1,0,0,0,0,1,0,0,0,7,56,17,0,0,2
2,BE,6,2,0,0,0,1,0,0,0,1,0,0,1,0,0,7,35,19,2,0,2
2,BE,6,2,0,0,0,0,1,0,0,1,0,0,0,0,0,4,48,18,0,0,2
2,BE,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,71,16,0,0,2
2,BE,5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,7,20,18,0,0,3
2,BE,7,2,0,0,1,0,0,0,0,1,0,0,0,0,0,5,61,19,0,0,3
2,BE,6,2,0,0,1,1,0,0,0,1,1,0,0,0,0,7,48,21,0,0,3
2,BE,6,2,0,1,0,0,1,0,0,0,0,1,0,0,0,7,32,18,0,0,1
2,BE,5,1,0,0,1,0,1,0,0,1,0,1,0,0,0,7,64,17,0,0,3
2,BE,6,2,0,0,0,1,0,0,0,0,1,0,1,0,0,3,65,15,0,0,3
2,BE,6,1,0,1,0,1,0,0,0,0,0,1,0,0,0,5,51,22,0,0,3
2,BE,6,2,0,0,1,0,1,0,0,1,0,1,1,0,0,8,38,21,1,1,2
2,BE,7,2,0,1,0,1,0,0,0,0,1,0,1,0,0,98,16,98,0,0,1
2,BE,5,2,0,1,0,1,0,0,0,0,1,1,0,0,0,6,25,19,0,0,3
2,BE,7,1,0,1,0,0,0,0,0,0,1,0,1,0,0,6,80,14,0,0,3
2,BE,7,2,0,0,1,0,1,0,0,0,0,0,0,0,0,4,27,20,0,0,2
2,BE,6,2,0,1,0,0,1,0,0,0,0,1,0,0,0,7,18,98,0,0,3
2,BE,5,2,0,1,0,0,1,0,0,0,0,1,0,0,0,5,86,15,0,0,3
2,BE,7,2,0,1,0,1,0,0,0,1,0,0,1,0,0,5,30,19,2,0,2
2,BE,6,2,0,1,0,0,1,0,0,0,0,1,0,0,0,6,88,14,0,0,3
2,BE,6,2,0,1,1,0,1,1,0,1,0,1,0,0,0,5,70,16,0,0,3
2,BE,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,76,14,0,0,3
2,BE,5,2,0,1,0,0,1,0,0,0,0,1,1,0,0,7,66,23,0,0,3
2,BE,7,1,0,1,1,1,0,0,1,1,0,1,1,0,0,7,65,21,0,0,3
