country,isocntry,d11,qc2,qc5,qc6.1,qc6.2,qc6.3,qc6.4,qc6.5,qc6.6,qc6.7,qc6.8,qc6.9,qc6.10,qc6.11,qc6.12,qc6.13,qc6.14,qc6.15,d1,d8,d40b,d40c,d60
2,BE,88,11,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,20,0,0,3
2,BE,20,7,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,3,98,0,0,3
2,BE,82,8,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,18,0,0,3
2,BE,65,10,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,14,0,0,3
2,BE,48,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,5,18,0,0,3
2,BE,75,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,16,0,0,3
2,BE,71,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97,15,0,0,3
2,BE,26,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,18,0,0,3
2,BE,68,7,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,15,10,0,3
2,BE,17,8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,98,2,0,2
2,BE,45,7,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,5,24,0,1,3
2,BE,86,8,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,5,22,0,0,3
2,BE,25,6,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,18,0,0,3
2,BE,92,7,2,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,5,15,0,0,3
2,BE,35,10,2,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,6,22,1,0,2
2,BE,62,7,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,12,0,0,1
2,BE,76,8,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,5,14,0,0,3
2,BE,38,8,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,5,19,1,0,2
2,BE,54,5,2,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,5,23,0,0,3
2,BE,26,6,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,5,18,1,0,3
2,BE,23,6,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,98,0,2,3
2,BE,49,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5,18,0,2,2
2,BE,84,6,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,14,0,0,1
2,BE,41,7,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,7,21,0,0,2
2,BE,34,6,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6,20,2,0,1
2,BE,16,6,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,98,0,3,1
2,BE,39,6,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,6,17,0,0,1
2,BE,46,5,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,17,0,1,2
2,BE,83,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,0,0,3
2,BE,22,5,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,4,17,0,0,1
2,BE,58,10,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,4,26,0,2,3
2,BE,63,10,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,10,16,0,0,3
2,BE,85,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,16,0,0,3
2,BE,70,10,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,5,18,0,0,3
2,BE,72,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,3
2,BE,40,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,21,2,0,3
2,BE,56,10,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,5,16,0,0,2
2,BE,20,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,19,0,0,3
2,BE,50,8,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5,22,0,0,3
2,BE,70,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,18,0,0,3
2,BE,67,8,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,21,0,0,3
2,BE,39,10,2,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,3,28,2,0,3
2,BE,70,5,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5,20,0,0,3
2,BE,66,10,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,24,0,0,3
2,BE,39,8,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,16,1,0,1
2,BE,50,10,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,5,21,0,0,2
2,BE,42,7,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,24,1,0,2
2,BE,61,8,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,21,0,0,3
2,BE,61,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,18,0,0,3
2,BE,64,10,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,25,0,0,3
2,BE,55,10,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,3,21,0,0,3
2,BE,48,7,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,5,19,0,0,3
2,BE,80,10,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,5,14,0,0,3
2,BE,32,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,21,0,0,3
2,BE,67,10,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5,18,0,0,3
2,BE,62,10,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5,18,1,0,3
2,BE,24,10,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,98,1,0,3
2,BE,28,7,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,16,0,0,1
2,BE,65,10,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,7,15,0,0,3
2,BE,42,9,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7,21,0,0,1
2,BE,48,10,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,4,25,0,0,2
2,BE,61,9,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,18,0,0,3
2,BE,76,7,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,4,20,0,0,3
2,BE,55,10,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,4,17,0,0,3
2,BE,68,10,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,3,16,0,0,1
2,BE,71,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,17,0,0,3
2,BE,49,5,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,6,22,0,0,2
2,BE,23,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,22,0,0,3
2,BE,18,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,98,0,0,1
2,BE,62,8,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,20,0,0,3
2,BE,57,8,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,7,19,0,0,3
2,BE,93,5,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,16,0,0,3
2,BE,45,7,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,5,19,0,0,3
2,BE,85,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,24,0,0,3
2,BE,42,10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,19,0,1,3
2,BE,43,6,2,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,5,27,0,2,2
2,BE,37,9,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,5,25,1,1,2
2,BE,43,10,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,23,1,1,3
2,BE,68,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16,0,0,2
2,BE,44,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,18,0,2,2
2,BE,44,10,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,10,23,0,0,3
2,BE,35,10,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,3,20,1,0,1
2,BE,40,8,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,5,23,1,1,3
2,BE,25,8,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,23,0,0,2
2,BE,21,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,98,0,0,3
2,BE,16,10,2,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,5,98,0,1,2
2,BE,40,7,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,19,0,0,3
2,BE,71,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,10,15,0,0,3
2,BE,68,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,14,0,0,3
2,BE,74,10,2,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,5,18,0,0,3
2,BE,85,6,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,21,0,0,3
2,BE,77,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97,17,0,0,3
2,BE,63,5,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,5,14,0,7,3
2,BE,88,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,97,14,0,0,3
2,BE,67,10,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,8,20,0,0,3
2,BE,33,8,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,32,1,0,3
2,BE,65,6,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,6,18,0,0,3
2,BE,34,7,2,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,5,19,0,0,2
2,BE,95,7,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,6,14,0,0,3
2,BE,69,7,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,97,21,0,0,3
2,BE,35,8,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,21,1,1,2
2,BE,31,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,17,1,0,2
2,BE,65,8,2,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,4,20,0,0,3
2,BE,40,9,2,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,7,22,1,0,2
2,BE,72,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,14,0,0,3
2,BE,58,8,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,7,20,0,0,3
2,BE,48,9,2,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,21,0,0,3
2,BE,54,9,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,5,52,0,0,3
2,BE,49,6,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,17,0,0,2
2,BE,27,7,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,3,19,0,0,3
2,BE,64,8,2,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,5,13,1,0,3
2,BE,68,8,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,6,14,0,0,3
2,BE,54,6,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,16,0,0,1
2,BE,28,5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,18,0,0,3
2,BE,44,7,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,18,0,0,3
2,BE,64,6,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,5,17,0,0,1
2,BE,51,6,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,6,18,0,0,3
2,BE,81,8,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,20,0,0,3
2,BE,40,7,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,6,20,0,1,3
2,BE,26,7,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,4,23,0,0,3
2,BE,39,7,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,5,18,0,1,2
2,BE,74,6,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,5,14,0,0,3
